VARIABLES =        it  Vd(1)  Vd(2)  Vd(3)  Vd(4)    fob  AF_ot fob_ot
                 331    58      56    56    59    8.48673       282    5.38965    
                 332    58      56    61    61    8.47031       282    5.38965    
                 333    59      59    57    61    8.55613       282    5.38965    
                 334    61      52    61    58    11.1141       282    5.38965    
                 335    61      61    60    61    6.79879       282    5.38965    
                 336    61      56    56    58    7.50262       282    5.38965    
                 337    61      53    60    61    7.43013       282    5.38965    
                 338    61       2    60    61    61.0317       282    5.38965    
                 339    60      59    60    61    6.31709       282    5.38965    
                 340    61      60    60    57    7.05414       282    5.38965    
                 341    28      57    60    61    20.2052       282    5.38965    
                 342    59      56    60    60    7.12903       282    5.38965    
                 343    61      60    61    61    6.74768       282    5.38965    
                 344    61      56    61    60    7.54386       282    5.38965    
                 345    61      56    59    60    6.79383       282    5.38965    
                 346    61      55    60    61    6.33189       282    5.38965    
                 347    58      56    60    61    7.14061       282    5.38965    
                 348    61      57    60    38    11.1941       282    5.38965    
                 349    61      56    57    61    7.52559       282    5.38965    
                 350    11      56    61    61    40.3348       282    5.38965    
                 351    30      60    60    61    14.3466       282    5.38965    
                 352    61      56    24    61    17.7123       282    5.38965    
                 353    61      60    59    58    7.26287       282    5.38965    
                 354    61      60     1    33    93.7462       282    5.38965    
                 355    61      61    59    61    7.38705       282    5.38965    
                 356    59       7    60    61    47.6229       282    5.38965    
                 357    61      51    60    60    6.56650       282    5.38965    
                 358    59      60    58    61    7.53176       282    5.38965    
                 359    61      56    60    15    23.1654       282    5.38965    
                 360    59      60    61    61    7.67167       282    5.38965    
                 361    61      61    60    59    7.65591       282    5.38965    
                 362    58      57    60    61    8.08597       282    5.38965    
                 363    32      60    60    61    11.9564       282    5.38965    
                 364    61      57    60    61    6.69381       282    5.38965    
                 365    60      56    60     9    37.0037       282    5.38965    
                 366    60      14    60    58    28.8327       282    5.38965    
                 367    51      60    61    61    7.96912       282    5.38965    
                 368    61      60    60    26    11.4164       282    5.38965    
                 369    59      56    57    61    8.46877       282    5.38965    
                 370    61      61    60    58    8.06394       282    5.38965    
                 371    61      56    49    61    8.65650       282    5.38965    
                 372    58      56    60    59    7.99780       282    5.38965    
                 373    61      56    60    32    11.7165       282    5.38965    
                 374    61      56    59    61    6.35642       282    5.38965    
                 375    61      61    60    60    7.23615       282    5.38965    
                 376    61      60     6    61    67.6066       282    5.38965    
                 377    60      60    60    59    6.72813       282    5.38965    
                 378    61      60    35    61    16.0355       282    5.38965    
                 379    58      61    60    60    8.55322       282    5.38965    
                 380    61      59    25    59    16.7436       282    5.38965    
                 381    60      60    61    61    7.21917       282    5.38965    
                 382    59      60    60    60    6.77023       282    5.38965    
                 383    59      61    60    61    7.69649       282    5.38965    
                 384    61      60    60    58    6.65490       282    5.38965    
                 385    23      60    60    61    16.3816       282    5.38965    
                 386    61      23    60    61    15.5421       282    5.38965    
                 387    25      60    55    61    14.7908       282    5.38965    
                 388    61      60    12    61    44.8184       282    5.38965    
                 389    58      60    60    59    7.63900       282    5.38965    
                 390    61      60    57    58    8.43204       282    5.38965    
                 391    58      60    58    61    7.98074       282    5.38965    
                 392    59      14    60    61    28.0293       282    5.38965    
                 393    59      60    57    61    8.10997       282    5.38965    
                 394    61      12    60    61    34.3245       282    5.38965    
                 395    61      16    60    61    21.5949       282    5.38965    
                 396    61       7    60    61    46.6797       282    5.38965    
                 397    61      60    58    61    6.58858       282    5.38965    
                 398     5      60    60    58    58.9270       282    5.38965    
                 399     2      58    61    61    63.7222       282    5.38965    
                 400    46      61    60    61    11.2154       282    5.38965    
                 401    33      60    60    61    10.7612       282    5.38965    
                 402    61      57    60    60    7.13122       282    5.38965    
                 403    58      61    60    35    15.9039       282    5.38965    
                 404    39      60    60    59    10.2295       282    5.38965    
                 405    61      44    60    60    8.58514       282    5.38965    
                 406    61      60    61    59    7.60488       282    5.38965    
                 407    58      60    59    60    7.82718       282    5.38965    
                 408    58      58    60    61    7.66165       282    5.38965    
                 409    61      58    61    58    8.89271       282    5.38965    
                 410    58      59    60    61    7.22797       282    5.38965    
                 411    59      60    60    58    7.59807       282    5.38965    
                 412    15      60    60    61    24.5536       282    5.38965    
                 413    58      60    60    58    8.04705       282    5.38965    
                 414    61      60    38    59    12.1310       282    5.38965    
                 415    61      58    22    40    24.7136       282    5.38965    
                 416    61      60    58    60    7.02599       282    5.38965    
                 417    61      60    48    61    9.19052       282    5.38965    
                 418    58      49    59    61    9.52386       282    5.38965    
                 419    61      61    58    60    8.39441       282    5.38965    
                 420    61      61    48    61    10.4611       282    5.38965    
                 421    24      60    61    61    16.1274       282    5.38965    
                 422    61      60    17    61    24.9212       282    5.38965    
                 423    60      44    60    61    8.62901       282    5.38965    
                 424    61      60    16    61    27.4721       282    5.38965    
                 425    61      58    59    61    6.87746       282    5.38965    
                 426    58      14    58    61    29.6772       282    5.38965    
                 427    61      35     6    59    76.2763       282    5.38965    
                 428    61      57    57    61    8.47095       282    5.38965    
                 429    58      61    60    61    8.11587       282    5.38965    
                 430    10      60    60    59    35.4563       282    5.38965    
                 431    61      57    59    61    7.30178       282    5.38965    
                 432    18      60    60    61    27.2992       282    5.38965    
                 433    43      60    60    58    10.8314       282    5.38965    
                 434    61      60    55    59    7.53081       282    5.38965    
                 435    58      60    29    61    20.9989       282    5.38965    
                 436    60      60    59    61    6.47890       282    5.38965    
                 437    60      60    14    61    35.4361       282    5.38965    
                 438    59      59    48    61    10.5799       282    5.38965    
                 439    61      18    60    61    26.0877       282    5.38965    
                 440    60      60    60    60    6.30833       282    5.38965    
                 441    20      29    60    61    32.4351       282    5.38965    
                 442    61      61    58    61    7.95705       282    5.38965    
                 443    61      48    60    61    8.17893       282    5.38965    
                 444     4      60    60    61    52.1706       282    5.38965    
                 445    22      60    60    59    18.6600       282    5.38965    
                 446    47      60    60    61    9.43692       282    5.38965    
                 447    49      60    60    61    8.08029       282    5.38965    
                 448    61      61    60     2    59.5896       282    5.38965    
                 449    60      37    60    61    11.0626       282    5.38965    
                 450    58      53    60    61    8.82229       282    5.38965    
                 451    61      33    60    60    10.5507       282    5.38965    
                 452    59      60    61    60    8.10907       282    5.38965    
                 453    61      60    60    32    11.3577       282    5.38965    
                 454    61      55    60    47    10.0102       282    5.38965    
                 455    61      60    46    61    10.9762       282    5.38965    
                 456    60      58    60    61    6.75077       282    5.38965    
                 457    58      60    61    61    8.11153       282    5.38965    
                 458    60      19    60    61    24.0418       282    5.38965    
                 459    31      60    12    61    52.5802       282    5.38965    
                 460    14      60    60    58    29.5980       282    5.38965    
                 461    60      60    58    61    7.06986       282    5.38965    
                 462    61      61    60    40    9.53759       282    5.38965    
                 463    61      61    58    52    11.3123       282    5.38965    
                 464    20      61    60    61    22.6487       282    5.38965    
                 465    61      60    14    60    35.3922       282    5.38965    
                 466    61      61    61    61    7.48018       282    5.38965    
                 467    61      52    60    61    8.49093       282    5.38965    
                 468    61      57    61    61    8.05177       282    5.38965    
                 469    61      60    57    59    8.02399       282    5.38965    
                 470    61      19    60    61    23.5605       282    5.38965    
                 471    61      34    60    61    14.8869       282    5.38965    
                 472    13      59    60    61    32.5258       282    5.38965    
                 473    61      60    58    59    7.44578       282    5.38965    
                 474    61      54    60    61    6.87477       282    5.38965    
                 475    60      54    60    61    7.35605       282    5.38965    
                 476    61      32    60    59    12.1249       282    5.38965    
                 477    39      60    57    61    11.1495       282    5.38965    
                 478    58      46    61    61    12.2112       282    5.38965    
                 479    61      60    57    23    17.1566       282    5.38965    
                 480    60      60    60    36    12.0445       282    5.38965    
